0	0	0	0	0	Not
0.278819	0.294944	0.221544	-0.0161247	-1	Not
0.00197801	0.00219783	0.000266482	-0.000219816	-1	Not
0.00255033	0.00283375	0.00117324	-0.000283417	-1	Not
0.00242984	0.00269987	0.0046989	-0.000270027	1	Not
0.0927657	0.102751	0.0986649	-0.00998549	-1	Not
0	0	0	0	0	Not
0.00243988	0.00271102	0.00392119	-0.000271143	1	Not
0	0	0.00196558	0	1	Included
0.00352427	0.00391592	0.0060909	-0.000391651	1	Not
0.00111451	0.00123837	0.00361304	-0.000123856	1	Not
0.0279532	0.0310596	0.0292999	-0.00310643	-1	Not
0.0191074	0.0179285	0.0348536	0.00117892	1	Included
0.0917215	0.0817212	0.0820836	0.0100003	1	Included
0.300597	0.261553	0.345017	0.0390449	1	Included
0.0110949	0.0123279	0.0545813	-0.00123298	1	Not
0.162819	0.180913	0.109616	-0.0180941	-1	Not
0.00108439	0.0012049	5.89589e-005	-0.000120508	-1	Not
0	0	1.32552e-005	0	1	Included
0	0	0.00253683	0	1	Included
0	0	0	0	0	Not
0	0	0	0	0	Not
0.241132	0.251878	0.221544	-0.0107468	-1	Not
0.000374371	0.000411829	0.000266482	-3.74574e-005	-1	Not
0.00106833	0.00117522	0.00117324	-0.000106891	-1	Not
0.00139704	0.00153682	0.0046989	-0.00013978	1	Not
0.0971813	0.106613	0.0986649	-0.0094321	-1	Not
0	0	0	0	0	Not
0.0149109	0.0164028	0.00392119	-0.0014919	-1	Not
0.000739611	0.000813612	0.00196558	-7.40012e-005	1	Not
0.00977017	0.0107477	0.0060909	-0.000977547	-1	Not
0.00290366	0.00319418	0.00361304	-0.000290523	1	Not
0.0445136	0.0489674	0.0292999	-0.00445378	-1	Not
0.0152214	0.0137711	0.0348536	0.00145024	1	Included
0.0764904	0.0659629	0.0820836	0.0105275	1	Included
0.304555	0.269798	0.345017	0.0347576	1	Included
0.0867902	0.0954739	0.0545813	-0.00868373	-1	Not
0.102276	0.11251	0.109616	-0.0102332	-1	Not
0	0	5.89589e-005	0	1	Included
0	0	1.32552e-005	0	1	Included
0.000675694	0.0007433	0.00253683	-6.76061e-005	1	Not
0	0	0	0	0	Not
0	0	0	0	0	Not
